DATE_RANK,AMOUNT,CUST_NO
131.0,2622.6400000000003,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
132.0,2192.7,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
133.0,607.78,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
134.0,606.78,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
135.0,816.38,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
136.0,784.02,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
137.0,1512.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
138.0,2130.58,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
139.0,4528.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
140.0,5134.94,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
141.0,2301.12,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
142.0,3495.1,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
143.0,9093.619999999999,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
144.0,3991.2200000000003,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
145.0,4722.22,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
146.0,4536.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
148.0,4525.379999999999,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
149.0,4645.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
150.0,6420.200000000001,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
151.0,4629.14,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
152.0,5223.76,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
153.0,2548.42,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
154.0,2493.1400000000003,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
155.0,4415.880000000001,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
156.0,4906.86,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
157.0,5308.4,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
158.0,1936.44,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
159.0,1191.26,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
160.0,3136.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
161.0,2067.1,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
162.0,1342.3000000000002,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
164.0,121.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
165.0,122.22,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
166.0,123.18,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
167.0,124.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
168.0,392.58,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
169.0,500.35999999999996,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
170.0,492.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
172.0,522.64,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
173.0,424.42,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
174.0,425.62,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
175.0,428.62,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
176.0,428.62,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
177.0,418.62,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
178.0,291.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
179.0,426.62,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
180.0,289.8,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
182.0,420.02,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
183.0,415.42,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
184.0,282.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
185.0,408.8,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
186.0,410.8,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
187.0,408.42,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
188.0,127.8,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
189.0,1243.22,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
190.0,404.02,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
191.0,403.02,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
192.0,408.42,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
197.0,2039.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
204.0,2060.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
205.0,2113.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
206.0,678.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
207.0,2144.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
208.0,678.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
213.0,3328.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
243.0,672.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
244.0,672.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
246.0,669.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
247.0,669.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
249.0,669.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
250.0,666.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
251.0,666.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
252.0,669.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
262.0,434.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
263.0,210.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
271.0,251.1,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
273.0,259.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
274.0,467.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
275.0,428.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
276.0,223.44,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
277.0,409.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
279.0,247.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
281.0,386.78,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
283.0,178.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
284.0,225.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
285.0,599.66,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
287.0,394.36,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
288.0,196.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
289.0,211.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
290.0,203.0,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
291.0,1462.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
292.0,921.9399999999999,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
293.0,2170.04,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
294.0,613.31,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
295.0,3211.27,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
296.0,2291.8,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
297.0,731.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
